[0/2] Re-checking globbed directories...
ninja: no work to do.
[FatTree] k=4  routing=ecmp  hosts=16  elephants=40  mice=40
[FatTree] FlowMonitor saved to results/fat-tree-ecmp-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
   106  UDP  10.0.34.2:49155->10.0.45.2:6012    5814    5814            6.34         0.00
   107  UDP  10.0.38.2:49155->10.0.35.2:6019    6340    6340            6.46         0.00
   108  UDP  10.0.35.2:49153->10.0.45.2:6003    4629    4629            4.79         0.00
   109  UDP  10.0.36.2:49155->10.0.47.2:6001    4436    4436            4.60         0.00
   110  UDP  10.0.45.2:49157->10.0.42.2:6013    6977    6977            7.31         0.00
   111  UDP  10.0.34.2:49156->10.0.38.2:6035    3103    3103            3.32         0.00
   112  UDP  10.0.44.2:49154->10.0.35.2:6002    5967    5967            6.54         0.00
   113  UDP  10.0.37.2:49153->10.0.36.2:6008    5543    5543            5.90         0.00
   114  UDP  10.0.37.2:49154->10.0.41.2:6027    4299    4299            4.61         0.00
   115  UDP  10.0.35.2:49154->10.0.32.2:6011    4868    4868            5.34         0.00
   116  UDP  10.0.40.2:49155->10.0.41.2:6005    5037    5037            5.38         0.00
   117  UDP  10.0.45.2:49158->10.0.47.2:6030    4218    4218            4.55         0.00
   118  UDP  10.0.44.2:49156->10.0.34.2:6028    5468    5468            5.90         0.00
   119  UDP  10.0.44.2:49155->10.0.34.2:6016    3933    3933            4.37         0.00
   120  UDP  10.0.36.2:49154->10.0.46.2:6010    4609    4609            5.08         0.00
--------------------------------------------------------------------------------
Total flows: 120  TxPkts: 6237603  RxPkts: 6237445  AvgDelay: 1.48 ms
